,cnyesId,nav,forSale,change,fundYesId,investmentArea,categoryAbbr,prevPrice,displayNameLocal,priceDate,inceptionDate,lastUpdate,classCurrencyLocal,changePercent,return1Month,displayNameLocalWithKwd,forSaleUrl,fundTags,portfolio_errors
1107,A17008,12.0613,0,0.0,,台灣,貨幣市場 - 新台幣,12.0613,台中銀萬保貨幣市場基金,1614268800,1011283200.0,1614268800,新台幣,0.0,0.01493,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1108,A33008,34.1174,0,-0.5329,,台灣,股債混合(平衡型),34.6503,聯邦金鑽平衡基金,1614268800,1055174400.0,1614268800,新台幣,-1.54,3.74477,0,,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星５星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1109,A25006,56.08,1,-1.12,A25006,台灣,股債混合(積極型),57.2,永豐趨勢平衡基金,1614268800,1029772800.0,1614268800,新台幣,-1.96,4.2573,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A25006,"[{'promoteName': '2021債券、平衡、股票月配級別申購0手續費', 'promoteDescription': '2021債券、平衡、股票月配級別單筆申購0手續費', 'startAt': 1609344000, 'endAt': 1640880000, 'handlingFeePercent': None, 'iconName': '０手續費', 'iconSymbol': '＄', 'darkColor': '#FFB43E', 'lightColor': '#FFD086'}]","{""message"":""Token not found"",""status_code"":400}"
1110,A37006,34.8,1,-0.94,A37006,中國/大中華,台灣股票,35.74,國泰大中華基金,1614268800,1012406400.0,1614268800,新台幣,-2.63,4.37912,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A37006,[],"{""message"":""Token not found"",""status_code"":400}"
1111,A38002,45.33,0,-1.62,,台灣,台灣股票,46.95,富達台灣成長基金,1614268800,1006272000.0,1614268800,新台幣,-3.45,1.59121,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1112,A32023,16.4497,0,0.0001,,台灣,貨幣市場 - 新台幣,16.4496,野村貨幣市場基金,1614268800,814204800.0,1614268800,新台幣,0.0,0.01885,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1113,A07013,13.718,0,0.0001,,台灣,貨幣市場 - 新台幣,13.7179,瀚亞威寶貨幣市場基金,1614268800,914342400.0,1614268800,新台幣,0.0,0.01969,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1114,A35001,15.06,1,-0.48,A35001,台灣,台灣股票,15.54,鋒裕匯理阿波羅基金,1614268800,950544000.0,1614268800,新台幣,-3.09,1.89445,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A35001,[],"{""message"":""Token not found"",""status_code"":400}"
1115,A33005,40.82,0,-0.79,,台灣,台灣股票,41.61,聯邦中國龍基金,1614268800,992793600.0,1614268800,新台幣,-1.9,4.82794,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1116,A37002,12.5391,0,0.0001,,台灣,貨幣市場 - 新台幣,12.539,國泰台灣貨幣市場基金,1614268800,965577600.0,1614268800,新台幣,0.0,0.02074,0,,[],"{""message"":""Token not found"",""status_code"":400}"
1117,A09002,185.63,1,-3.94,A09002,台灣,台灣股票,189.57,統一全天候基金-A類型,1614268800,761500800.0,1614268800,新台幣,-2.08,0.94073,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A09002,"[{'promoteName': '晨星評等', 'promoteDescription': '基金的報酬、風險及費用三個面向發展出的晨星星等評級，評級結果由最高5顆星到最低1顆星', 'startAt': 1556640000, 'endAt': 2524492800, 'handlingFeePercent': None, 'iconName': '晨星５星', 'iconSymbol': '★', 'darkColor': '#54B5C6', 'lightColor': '#70D0E1'}]","{""message"":""Token not found"",""status_code"":400}"
1118,A09004,112.11,1,-2.46,A09004,台灣,台灣股票,114.57,統一龍馬基金,1614268800,797270400.0,1614268800,新台幣,-2.15,4.78549,0,https://www.anuefund.com/Redr/Redr.aspx?FundID=A09004,[],"{""message"":""Token not found"",""status_code"":400}"
1119,A09005,16.8464,0,0.0001,,台灣,貨幣市場 - 新台幣,16.8463,統一強棒貨幣市場基金,1614268800,803232000.0,1614268800,新台幣,0.0,0.01781,0,,[],"{""message"":""Token not found"",""status_code"":400}"
